"method","uri","action","middleware"
"GET|HEAD","api/v1/provider-schedules","App\Http\Controllers\Api\V1\ProviderScheduleApiController@index","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:view-appointments"
"POST","api/v1/provider-schedules","App\Http\Controllers\Api\V1\ProviderScheduleApiController@store","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:create-appointments"
"GET|HEAD","api/v1/provider-schedules/{id}","App\Http\Controllers\Api\V1\ProviderScheduleApiController@show","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:view-appointments"
"PATCH","api/v1/provider-schedules/{id}","App\Http\Controllers\Api\V1\ProviderScheduleApiController@update","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:update-appointments"
"DELETE","api/v1/provider-schedules/{id}","App\Http\Controllers\Api\V1\ProviderScheduleApiController@destroy","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:delete-appointments"
"POST","api/v1/provider-schedules/{id}/generate-slots","App\Http\Controllers\Api\V1\ProviderScheduleApiController@generateSlots","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:update-appointments"
"GET|HEAD","api/v1/providers","App\Http\Controllers\Api\V1\ProviderApiController@index","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:view-appointments"
"GET|HEAD","api/v1/providers/{id}","App\Http\Controllers\Api\V1\ProviderApiController@show","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:view-appointments"
"GET|HEAD","api/v1/rooms","App\Http\Controllers\Api\V1\RoomApiController@index","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:60,1 | Illuminate\Auth\Middleware\Authorize:view-beds"
"GET|HEAD","api/v1/schedules","App\Http\Controllers\Api\V1\ScheduleApiController@index","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:view-appointments"
"GET|HEAD","api/v1/schedules/{providerId}/slots","App\Http\Controllers\Api\V1\ScheduleApiController@slots","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:view-appointments"
"GET|HEAD","api/v1/telehealth","App\Http\Controllers\Api\V1\TelehealthApiController@index","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:60,1 | Illuminate\Auth\Middleware\Authorize:view-telehealth"
"POST","api/v1/telehealth","App\Http\Controllers\Api\V1\TelehealthApiController@store","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:start-telehealth"
"GET|HEAD","api/v1/telehealth/{id}","App\Http\Controllers\Api\V1\TelehealthApiController@show","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:60,1 | Illuminate\Auth\Middleware\Authorize:view-telehealth"
"POST","api/v1/telehealth/{id}/cancel","App\Http\Controllers\Api\V1\TelehealthApiController@cancel","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:start-telehealth"
"POST","api/v1/telehealth/{id}/closeout","App\Http\Controllers\Api\V1\TelehealthApiController@closeout","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:start-telehealth"
"POST","api/v1/telehealth/{id}/end","App\Http\Controllers\Api\V1\TelehealthApiController@end","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:start-telehealth"
"GET|HEAD","api/v1/telehealth/{id}/participants","App\Http\Controllers\Api\V1\TelehealthParticipantApiController@index","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:60,1 | Illuminate\Auth\Middleware\Authorize:view-telehealth"
"POST","api/v1/telehealth/{id}/participants","App\Http\Controllers\Api\V1\TelehealthParticipantApiController@store","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:join-telehealth"
"POST","api/v1/telehealth/{id}/prescription","App\Http\Controllers\Api\V1\TelehealthApiController@prescription","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:start-telehealth"
"POST","api/v1/telehealth/{id}/reminder","App\Http\Controllers\Api\V1\TelehealthApiController@reminder","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:start-telehealth"
"POST","api/v1/telehealth/{id}/start","App\Http\Controllers\Api\V1\TelehealthApiController@start","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:start-telehealth"
"POST","api/v1/triage/score","App\Http\Controllers\Api\V1\TriageApiController@score","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:triage-patients"
"GET|HEAD","api/v1/waitlists","App\Http\Controllers\Api\V1\WaitlistApiController@index","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:view-appointments"
"POST","api/v1/waitlists","App\Http\Controllers\Api\V1\WaitlistApiController@store","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:create-appointments"
"PATCH","api/v1/waitlists/{id}","App\Http\Controllers\Api\V1\WaitlistApiController@update","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:update-appointments"
"GET|HEAD","api/v1/wards","App\Http\Controllers\Api\V1\WardApiController@index","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:60,1 | Illuminate\Auth\Middleware\Authorize:view-beds"
"GET|HEAD","appointments","App\Http\Controllers\AppointmentController@index","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-appointments"
"POST","appointments","App\Http\Controllers\AppointmentController@store","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-appointments"
"GET|HEAD","appointments/create","App\Http\Controllers\AppointmentController@create","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-appointments"
"GET|HEAD","appointments/slots/json","App\Http\Controllers\AppointmentController@slots","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-appointments"
"GET|HEAD","appointments/{appointment}","App\Http\Controllers\AppointmentController@show","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-appointments"
"POST","appointments/{appointment}/cancel","App\Http\Controllers\AppointmentController@cancel","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:cancel-appointments"
"POST","appointments/{appointment}/check-in","App\Http\Controllers\AppointmentController@checkIn","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:create-appointments"
"POST","appointments/{appointment}/no-show","App\Http\Controllers\AppointmentController@markNoShow","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:cancel-appointments"
"POST","appointments/{appointment}/reschedule","App\Http\Controllers\AppointmentController@reschedule","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:cancel-appointments"
"GET|HEAD","audit-logs","App\Http\Controllers\AuditLogController@index","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-audit-logs"
"GET|HEAD","beds","App\Http\Controllers\InpatientController@wards","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-beds | App\Http\Middleware\EnsureRole:nurse,super-admin,hospital-admin"
"POST","beds/{bed}/status","App\Http\Controllers\InpatientController@setBedStatus","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:manage-beds | App\Http\Middleware\EnsureRole:nurse,super-admin,hospital-admin"
"GET|HEAD","confirm-password","App\Http\Controllers\Auth\ConfirmablePasswordController@show","web | Illuminate\Auth\Middleware\Authenticate"
"POST","confirm-password","App\Http\Controllers\Auth\ConfirmablePasswordController@store","web | Illuminate\Auth\Middleware\Authenticate"
